Book Title,Price (£),Rating,Availability,Genre,Price Category
A Light in the Attic,51.77,3,In stock,Poetry,High
Tipping the Velvet,53.74,1,In stock,Historical Fiction,High
Soumission,50.1,1,In stock,Fiction,High
Sharp Objects,47.82,4,In stock,Mystery,High
Sapiens: A Brief History of Humankind,54.23,5,In stock,History,High
The Requiem Red,22.65,1,In stock,Young Adult,Low
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Business,Low
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Default,Very Low
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,Default,Low
The Black Maria,52.15,1,In stock,Poetry,High
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Default,Very Low
Shakespeare's Sonnets,20.66,4,In stock,Poetry,Very Low
Set Me Free,17.46,5,In stock,Young Adult,Very Low
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Sequential Art,High
Rip it Up and Start Again,35.02,5,In stock,Music,Medium
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,Music,High
Olio,23.88,1,In stock,Poetry,Low
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Science Fiction,Medium
Libertarianism for Beginners,51.33,2,In stock,Politics,High
It's Only the Himalayas,45.17,2,In stock,Travel,Medium
In Her Wake,12.84,1,In stock,Thriller,Very Low
How Music Works,37.32,2,In stock,Music,Medium
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Food and Drink,Low
Chase Me (Paris Nights #2),25.27,5,In stock,Romance,Low
Black Dust,34.53,5,In stock,Romance,Low
Birdsong: A Story in Pictures,54.64,3,In stock,Childrens,High
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Default,Low
Aladdin and His Wonderful Lamp,53.13,3,In stock,Default,High
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,5,In stock,Nonfiction,Medium
Wall and Piece,44.18,4,In stock,Art,Medium
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Spirituality,Very Low
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Nonfiction,Low
The Elephant Tree,23.82,5,In stock,Thriller,Low
The Bear and the Piano,36.89,1,In stock,Childrens,Medium
Sophie's World,15.94,5,In stock,Philosophy,Very Low
Penny Maybe,33.29,3,In stock,Default,Low
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Default,Very Low
"In a Dark, Dark Wood",19.63,1,In stock,Mystery,Very Low
Behind Closed Doors,52.22,4,In stock,Thriller,High
You can't bury them all: Poems,33.63,2,In stock,Poetry,Low
Slow States of Collapse: Poems,57.31,3,In stock,Poetry,High
Reasons to Stay Alive,26.41,2,In stock,Nonfiction,Low
Private Paris (Private #10),47.61,5,In stock,Fiction,High
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Nonfiction,Low
Without Borders (Wanderlove #1),45.07,2,In stock,New Adult,Medium
When We Collided,31.77,1,In stock,Contemporary,Low
"We Love You, Charlie Freeman",50.27,5,In stock,Fiction,High
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Poetry,Very Low
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,Nonfiction,Medium
Unicorn Tracks,18.78,3,In stock,Fantasy,Very Low
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,History,Low
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Sequential Art,Very Low
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,Nonfiction,Low
This One Summer,19.49,4,In stock,Sequential Art,Very Low
Thirst,17.27,5,In stock,Fiction,Very Low
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Unlabeled,Very Low
